ticker,horizon,xgb_result,lstm_result,transformer_result,meta_result,pair_status,error_summary
$SPX,1c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
$SPX,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
$SPX,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
$SPX,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
AAPL,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
AAPL,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
AAPL,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
AAPL,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
AMZN,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
AMZN,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
AMZN,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
AMZN,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
AVGO,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
AVGO,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
AVGO,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
AVGO,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
CIFR,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
CIFR,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
CIFR,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
CIFR,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
CRWD,1c,LOADED,NOT_FOUND,LOADED,NOT_FOUND,BASE_PARTIAL,
CRWD,5c,LOADED,NOT_FOUND,LOADED,NOT_FOUND,BASE_PARTIAL,
CRWD,15c,LOADED,NOT_FOUND,LOADED,NOT_FOUND,BASE_PARTIAL,
CRWD,60c,LOADED,NOT_FOUND,NOT_FOUND,NOT_FOUND,BASE_PARTIAL,
GOOGL,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
GOOGL,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
GOOGL,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
GOOGL,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
IWM,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
IWM,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
IWM,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
IWM,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
META,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
META,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
META,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
META,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
MSFT,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
MSFT,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
MSFT,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
MSFT,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
NVDA,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
NVDA,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
NVDA,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
NVDA,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
QQQ,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
QQQ,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
QQQ,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
QQQ,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
SPY,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
SPY,5c,LOADED,LOADED,LOADED,LOAD_ERROR,BASE_PARTIAL,loader_returned_false_with_existing_file
SPY,15c,LOADED,LOADED,LOADED,LOAD_ERROR,BASE_PARTIAL,loader_returned_false_with_existing_file
SPY,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
TSLA,1c,LOADED,LOADED,LOADED,LOADED,FULLY_LOADABLE,
TSLA,5c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
TSLA,15c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
TSLA,60c,LOADED,LOADED,LOADED,NOT_FOUND,BASE_ONLY,
