file,line,tags,names,candidate_schwab_fields,code,classification,classification_reason,disposition,disposition_reason,manual_review_required
db.py,2827,DEFAULT_ZERO_OR,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"vol = float(getattr(b, ""volume"", 0) or 0)",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
db.py,2842,DEFAULT_ZERO_OR|GET_DEFAULT_ZERO,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"vol = float(b.get(""volume"", 0) or 0)",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
liquidity_value_engine.py,61,DEFAULT_ZERO_OR,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"v = d.get(""volume"") or d.get(""vol"") or d.get(""v"") or 0",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
liquidity_value_engine.py,101,GET_DEFAULT_ZERO,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"v = row.get(""volume"", row.get(""vol"", row.get(""v"", 0)))",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
liquidity_value_engine.py,286,DEFAULT_ZERO_OR,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"vol = b.get(""volume"") or 0",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
liquidity_value_engine.py,312,DEFAULT_ZERO_OR,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"vol = b.get(""volume"") or 0",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
liquidity_value_engine.py,362,DEFAULT_ZERO_OR,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"vol = float(b.get(""volume"") or 0)",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
live_market_plane.py,111,BID_ASK_MID,,,mid = (bf + af) / 2.0,DERIVED_WITH_PROVENANCE_REVIEW,bid/ask spread or midpoint derivation needs unit/source contract,KEEP_DERIVED_WITH_PROVENANCE,Derived spread/midpoint requires unit/source provenance.,yes
live_market_plane.py,113,ASK_MINUS_BID,,,spread_frac = (af - bf) / mid,DERIVED_WITH_PROVENANCE_REVIEW,bid/ask spread or midpoint derivation needs unit/source contract,KEEP_DERIVED_WITH_PROVENANCE,Derived spread/midpoint requires unit/source provenance.,yes
market_context.py,638,DEFAULT_ZERO_OR|GET_DEFAULT_ZERO,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"vol = float(c.get(""volume"", 0) or 0)",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
market_context.py,682,DEFAULT_ZERO_OR|GET_DEFAULT_ZERO,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"vol = float(c.get(""volume"", 0) or 0)",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
market_context.py,887,GET_DEFAULT_ZERO,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"float(c.get(""volume"", 0)),",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
market_data_adapter.py,109,DEFAULT_ZERO_OR|GET_DEFAULT_ZERO,volume,movers.screeners.*.volume|pricehistory.candles.*.volume|streaming.content.*.VOLUME,"""volume"": float(c.get(""volume"", 0) or 0),",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
math_exposure_core.py,128,DEFAULT_ZERO_OR,openInterest,chains.callExpDateMap.*.openInterest|chains.putExpDateMap.*.openInterest,"oi = _f(ct.get(""openInterest"")) or 0.0",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
math_exposure_core.py,139,DEFAULT_ZERO_OR,totalVolume,chains.callExpDateMap.*.totalVolume|chains.putExpDateMap.*.totalVolume|chains.underlying.totalVolume|movers.screeners.*.totalVolume|quotes.extended.totalVolume|quotes.quote.totalVolume,"vol = _f(ct.get(""totalVolume"")) or 0.0",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
math_exposure_core.py,380,DEFAULT_ZERO_OR,openInterest,chains.callExpDateMap.*.openInterest|chains.putExpDateMap.*.openInterest,"oi      = _f(ct.get(""openInterest"")) or 0.0",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
math_exposure_core.py,381,DEFAULT_100_OR,multiplier,chains.callExpDateMap.*.multiplier|chains.putExpDateMap.*.multiplier,"mult    = _f(ct.get(""multiplier""))   or 100.0",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
math_levels.py,555,DEFAULT_ZERO_OR,daysToExpiration,chains.callExpDateMap.*.daysToExpiration|chains.daysToExpiration|chains.putExpDateMap.*.daysToExpiration,"dte = int(float(c.get(""daysToExpiration"") or 0))",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
math_levels.py,589,DEFAULT_ZERO_OR,bid,chains.callExpDateMap.*.bid|chains.putExpDateMap.*.bid|chains.underlying.bid,"b = float(row.get(""bid"") or 0)",CSV_PRIMITIVE_RISK_REVIEW,Schwab primitive appears with default/derivation risk,REPLACE_WITH_SCHWAB_OR_GATE,Schwab primitive appears with default/derivation risk.,yes
