file,line,tags,names,candidate_schwab_fields,code,classification,classification_reason,disposition,disposition_reason,manual_review_required
adaptive_shadow_v2_calibration.py,252,DEFAULT_ZERO_OR,,,"-(x[""aggregate""].get(""mean_jaccard_vs_heuristic"") or 0.0),",NOT_MARKET_DATA,no market names or Schwab candidates,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_shadow_v2_calibration.py,253,DEFAULT_ZERO_OR,,,"-(x[""aggregate""].get(""fraction_tier_stop_viable"") or 0.0),",NOT_MARKET_DATA,no market names or Schwab candidates,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_shadow_v2_calibration.py,254,DEFAULT_ZERO_OR,,,"x[""aggregate""].get(""stdev_jaccard_across_anchors"") or 0.0,",NOT_MARKET_DATA,no market names or Schwab candidates,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_shadow_v2_calibration.py,303,DEFAULT_ZERO_OR,,,"empties = [x for x in pa0 if int(x.get(""structural_pool_size"") or 0) == 0]",NOT_MARKET_DATA,no market names or Schwab candidates,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_shadow_v2_calibration.py,338,,low,pricehistory.candles.*.low,"""MEDIUM if all anchors have tier1 pool > 0 and mean_jaccard interpretable; LOW if many empty tier1 pools.""",NOT_MARKET_DATA,generic name-only hit without derivation/default risk,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_similarity_engine.py,71,,high|low,pricehistory.candles.*.high|pricehistory.candles.*.low,"Small staged sweep (~15 configs): corners, mid baseline, per-feature low/high from mid.",NOT_MARKET_DATA,generic name-only hit without derivation/default risk,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_similarity_engine.py,187,GET_DEFAULT_ZERO,,,"w = float(tier3_weights.get(col, 0.0))",NOT_MARKET_DATA,no market names or Schwab candidates,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_similarity_engine.py,259,GET_DEFAULT_ZERO,,,"tw = {k: float(tier3_weights.get(k, 0.0)) for k in ADAPTIVE_SHADOW_V2_TIER3_COLUMNS}",NOT_MARKET_DATA,no market names or Schwab candidates,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_similarity_engine.py,313,DEFAULT_ZERO_OR,,,"-float(x[1].get(""ts_utc"") or 0),",NOT_MARKET_DATA,no market names or Schwab candidates,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_similarity_engine.py,314,DEFAULT_ZERO_OR,,,"-(x[1].get(""snapshot_id"") or 0),",NOT_MARKET_DATA,no market names or Schwab candidates,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
adaptive_similarity_engine.py,599,DEFAULT_ZERO_OR,,,"scored.sort(key=lambda x: (-x[0], -float(x[1].get(""ts_utc"") or 0), -(x[1].get(""snapshot_id"") or 0)))",NOT_MARKET_DATA,no market names or Schwab candidates,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
api_pressure.py,35,TIME_NOW_FALLBACK,,,now = time.time(),NOT_MARKET_RUNTIME,tests/docs/governance/audit/generated support path,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
api_pressure.py,47,TIME_NOW_FALLBACK,,,now = time.time(),NOT_MARKET_RUNTIME,tests/docs/governance/audit/generated support path,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
api_pressure.py,64,,last,chains.callExpDateMap.*.last|chains.putExpDateMap.*.last|chains.underlying.last,"f""Schwab HTTP 429 (rate limit) on {last_where} — {n} hit(s) in the last ~{int(win)}s. """,NOT_MARKET_RUNTIME,tests/docs/governance/audit/generated support path,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
audit_expiry_data.py,3,,,,audit_expiry_data.py — Audit snapshots for bad expiry data from the 2026-03-12 bug,NOT_MARKET_RUNTIME,tests/docs/governance/audit/generated support path,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
audit_expiry_data.py,5,,,,Run: python audit_expiry_data.py,NOT_MARKET_RUNTIME,tests/docs/governance/audit/generated support path,NOT_MARKET_DATA,Excluded from runtime market-data proof surface.,no
