path,extension,language_family,status,clause,memo_ref,reviewed_at
.claude/settings.local.json,.json,json,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/.claude/settings.local.json,.json,json,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/.git,,catch_all_text,excluded,V3-B git internals,,
.claude/worktrees/festive-sanderson-e4af16/.gitignore,,catch_all_text,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/.logger_tickers.json.migrated_issue22,.migrated_issue22,catch_all_text,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/.playwright_last_run_success,,catch_all_text,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/CALL_CARD_SEMANTICS_FIX_AUDIT.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/CARD_STUCK_FIX_AUDIT.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/DATA_STEWARDSHIP.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/EdWebConsole_DesignSystem.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/FUSION_MC_AUDIT.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/LSTM_INACTIVE_FIX_AUDIT.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/MIGRATION_1M_CANONICAL.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/MODEL_RESTORE_LOG.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/MODEL_STATUS_HARDENING_AUDIT.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/Makefile,,catch_all_text,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/OPEN_ITEMS.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/PIPELINE_QUALITY.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/PROMOTION_POLICY.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/README.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/SCHWAB_AUTH_AUDIT.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/SNAPSHOT_DATA_AUDIT.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/TRAINING_AND_MAINTENANCE.md,.md,markdown,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/_pipeline_scripts/step3_benchmark_AAPL_5c_postFix.ps1,.ps1,catch_all_text,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/adaptive_shadow_v2_calibration.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/adaptive_similarity_engine.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/api_pressure.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/__init__.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/audit.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/eval_runner.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/exceptions.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/governance_visibility.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/lineage.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/live_drift_monitoring.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/manual_control.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/metrics.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/notification_delivery.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/operational_policy.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/promotion_engine.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/scheduler_integration.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/arch_competition/stack_bundle_eval_v1.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/audit_expiry_data.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/audit_gate_labels.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/audit_model_readiness.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/audit_snapshot_data.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/audit_training_data.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/backfill_flow_imbalance.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/backfill_snapshot_derived.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/bar_rehydration_issue19_v1.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/bayesian_fusion.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/calibration/__init__.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/calibration/analyze_phase3.py,.py,python,excluded,G1.1 .claude worktree dedup,,
.claude/worktrees/festive-sanderson-e4af16/calibration/analyze_phase4.py,.py,python,excluded,G1.1 .claude worktree dedup,,
