register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
cafcd98ef954860d6e9f,python,bayesian_fusion.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
f18fa3a8595887e8c2ff,python,bayesian_fusion.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
9c800237727de13fa7b2,python,bayesian_fusion.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
ea06626a87de07a6a675,python,bayesian_fusion.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
907fb3f1d0aa4b70cfb6,py,bayesian_fusion.py,5,0,TEXT_LINE_MARKET_TOKEN,Phase 6 of the Canonical Implementation Roadmap.,the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.theta;chains.putExpDateMap.*.theoreticalVolatility,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
340d0ef13ff787cf7ffb,cross_validator,bayesian_fusion.py,5,0,pattern_kind_miss,Phase 6 of the Canonical Implementation Roadmap.,the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.theta;chains.putExpDateMap.*.theoreticalVolatility,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
8d09263cc4d3da4f94f2,python,bayesian_fusion.py,6,404,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
99c0e1a0582770ddbaa1,python,bayesian_fusion.py,7,405,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
51b736b4c426116f5dea,python,bayesian_fusion.py,8,406,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
1997951dc11c20c9351a,python,bayesian_fusion.py,9,407,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
874a15caf0d966576f41,py,bayesian_fusion.py,10,0,TEXT_LINE_MARKET_TOKEN,  - lstm_model.py           (sequence evidence),sequence,streaming.content.*.ASKS.*.ASKS.*.SEQUENCE;streaming.content.*.BIDS.*.BIDS.*.SEQUENCE;streaming.content.*.SEQUENCE,quotes.quote.52WeekHigh;chains.putExpDateMap.*.high52Week;chains.putExpDateMap.*.low52Week,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
5dd5b1c0c9a9303b26d6,cross_validator,bayesian_fusion.py,10,0,pattern_kind_miss,  - lstm_model.py           (sequence evidence),sequence,streaming.content.*.ASKS.*.ASKS.*.SEQUENCE;streaming.content.*.BIDS.*.BIDS.*.SEQUENCE;streaming.content.*.SEQUENCE,quotes.quote.52WeekHigh;chains.putExpDateMap.*.high52Week;chains.putExpDateMap.*.low52Week,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
23d1af10f211ded825c8,python,bayesian_fusion.py,11,408,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
4b66b6cae7f72a538b00,python,bayesian_fusion.py,12,409,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
795d780b243298316826,python,bayesian_fusion.py,13,410,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
bf87c49d1411507ba6bd,python,bayesian_fusion.py,14,411,FORMAL_NMD,L14 orchestration,L14_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
488944e818bc8a12e2ee,python,bayesian_fusion.py,15,412,FORMAL_NMD,L15 orchestration,L15_orchestration,,,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,trunk orchestration/constants/self-test | line anchored HEAD 33a7a2f bayesian_fusion.py trunk; FusionPayload producer
5a9a8bce3de415b71d71,py,bayesian_fusion.py,16,0,TEXT_LINE_MARKET_TOKEN,  - Trust weights per evidence source,per,instruments.*.fundamental.bookValuePerShare,quotes.extended.askSize;quotes.quote.askSize;quotes.quote.52WeekHigh,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
3dd9e74b3482bce73100,cross_validator,bayesian_fusion.py,16,0,pattern_kind_miss,  - Trust weights per evidence source,per,instruments.*.fundamental.bookValuePerShare,quotes.extended.askSize;quotes.quote.askSize;quotes.quote.52WeekHigh,CLAUDE chunk-1 disposition bayesian_fusion.py 1-859,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
