register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
1ec5493dff6a538b49cf,python,features/cascade_stack_schema.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
29cf1266875469131614,python,features/cascade_stack_schema.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
4aec2cf08854c324b2aa,python,features/cascade_stack_schema.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
a7ddfbe95b9504949646,python,features/cascade_stack_schema.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
e89217fd8c29c43901a7,python,features/cascade_stack_schema.py,5,404,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
24a518394602aee16b00,python,features/cascade_stack_schema.py,6,405,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
77e527d8a301e748b13e,python,features/cascade_stack_schema.py,7,200,FORMAL_PASS_THROUGH,CASCADE_STACK_SCHEMA_VERSION import,CASCADE_STACK_SCHEMA_VERSION_import,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,PASS_THROUGH,,,PASS_THROUGH cascade_stack_contract | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
a1c45c9eba0a2e3d019e,python,features/cascade_stack_schema.py,8,406,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
39aae8fbd4f8cefd211f,python,features/cascade_stack_schema.py,9,407,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
db1383a116a3299803fd,python,features/cascade_stack_schema.py,10,408,FORMAL_NMD,L10 orchestration,L10_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
21094c516d32997fec71,python,features/cascade_stack_schema.py,11,409,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
0ab640d7d38df2e8852d,python,features/cascade_stack_schema.py,12,410,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
4eb6a2fe5682d39548f1,python,features/cascade_stack_schema.py,13,411,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
0ace9604ea596960370e,python,features/cascade_stack_schema.py,14,412,FORMAL_NMD,L14 orchestration,L14_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
58822e5bdaeabafebff0,python,features/cascade_stack_schema.py,15,413,FORMAL_NMD,L15 orchestration,L15_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
0a63ec85b63d7739713a,python,features/cascade_stack_schema.py,16,414,FORMAL_NMD,L16 orchestration,L16_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/cascade_stack_schema+contract,NOT_MARKET_DATA,,,Cascade challenger run record schema (evaluation only) | line anchored HEAD c2542fe; cascade challenger runtime contract; pairs parallel_stack_schema
