register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
fee80a1b67616aeab2d8,python,features/lstm_sequence_input.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
d777f2ae5bb5c3938126,python,features/lstm_sequence_input.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
b40a2594cd8e6fb85f87,python,features/lstm_sequence_input.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
4829ee52b69eacf9c54b,python,features/lstm_sequence_input.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
e3ab6d493b7ea06077a8,python,features/lstm_sequence_input.py,5,404,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
c3e3a9db5e8c97d2b1ca,python,features/lstm_sequence_input.py,6,405,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
897504a8a24ad44b49ba,python,features/lstm_sequence_input.py,7,406,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
01220696bed628f84b5b,python,features/lstm_sequence_input.py,8,407,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
7fa8e1d50f1d0d9df535,python,features/lstm_sequence_input.py,9,408,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
602326529892b51464ef,python,features/lstm_sequence_input.py,10,409,FORMAL_NMD,L10 orchestration,L10_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
f536b72263a3c8b686f7,python,features/lstm_sequence_input.py,11,410,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
452279238e3eeffaf77b,python,features/lstm_sequence_input.py,12,411,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
7161574b1b55e34004b3,python,features/lstm_sequence_input.py,13,412,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
716889f02b5b2f8e0a44,python,features/lstm_sequence_input.py,14,413,FORMAL_NMD,L14 orchestration,L14_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
b9873c199c22a3d17207,python,features/lstm_sequence_input.py,15,414,FORMAL_NMD,L15 orchestration,L15_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
b50f8b8318ffd5858423,python,features/lstm_sequence_input.py,16,415,FORMAL_NMD,L16 orchestration,L16_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
ac4f059cfd51fc5c6dce,python,features/lstm_sequence_input.py,17,416,FORMAL_NMD,L17 orchestration,L17_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
ec5937daac4f8e8d310b,python,features/lstm_sequence_input.py,18,417,FORMAL_NMD,L18 orchestration,L18_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
6fbeaa2dfeb92d5bca74,python,features/lstm_sequence_input.py,19,418,FORMAL_NMD,L19 orchestration,L19_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
bdb17e390e973eaa9bd0,python,features/lstm_sequence_input.py,20,419,FORMAL_NMD,L20 orchestration,L20_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
0818d74020a150268302,python,features/lstm_sequence_input.py,21,420,FORMAL_NMD,L21 orchestration,L21_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
42e3f20cf3776dc0d04e,python,features/lstm_sequence_input.py,22,421,FORMAL_NMD,L22 orchestration,L22_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
b8dfbd15b31c4b5b8b7f,python,features/lstm_sequence_input.py,23,422,FORMAL_NMD,L23 orchestration,L23_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
2a923a62c6c9625e3d77,python,features/lstm_sequence_input.py,24,423,FORMAL_NMD,L24 orchestration,L24_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
be8afe892e9084774080,python,features/lstm_sequence_input.py,25,424,FORMAL_NMD,L25 orchestration,L25_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
4eafaff650915461b392,python,features/lstm_sequence_input.py,26,425,FORMAL_NMD,L26 orchestration,L26_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
11660fcbe3890a930e73,python,features/lstm_sequence_input.py,27,426,FORMAL_NMD,L27 orchestration,L27_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
2a4cf3648887dfe41927,python,features/lstm_sequence_input.py,28,427,FORMAL_NMD,L28 orchestration,L28_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
4aae01859d69c5bbb0ac,python,features/lstm_sequence_input.py,29,428,FORMAL_NMD,L29 orchestration,L29_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
3a947ede1aa1b3ca1333,python,features/lstm_sequence_input.py,30,429,FORMAL_NMD,L30 orchestration,L30_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
450fa463a4cd6373f1a7,python,features/lstm_sequence_input.py,31,430,FORMAL_NMD,L31 orchestration,L31_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
79bfa516a581b06d313f,python,features/lstm_sequence_input.py,32,431,FORMAL_NMD,L32 orchestration,L32_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
98f7b7a9fb9cc3819ca1,python,features/lstm_sequence_input.py,33,432,FORMAL_NMD,L33 orchestration,L33_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
19e58aa7cc223a1c3bff,python,features/lstm_sequence_input.py,34,433,FORMAL_NMD,L34 orchestration,L34_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
7b0e09328af2e3813abb,python,features/lstm_sequence_input.py,35,434,FORMAL_NMD,L35 orchestration,L35_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
db49f0cecd045ec7f0ae,python,features/lstm_sequence_input.py,36,435,FORMAL_NMD,L36 orchestration,L36_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
1ec1b8ea37c6cd6f9f04,python,features/lstm_sequence_input.py,37,436,FORMAL_NMD,L37 orchestration,L37_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
f1e4d04802876f369cb9,python,features/lstm_sequence_input.py,38,437,FORMAL_NMD,L38 orchestration,L38_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
f56696868dc3cae20ef6,python,features/lstm_sequence_input.py,39,438,FORMAL_NMD,L39 orchestration,L39_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
c784ac8c57b5d1436c0a,python,features/lstm_sequence_input.py,40,439,FORMAL_NMD,L40 orchestration,L40_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
0f2a90bcfcac6aac12cd,python,features/lstm_sequence_input.py,41,440,FORMAL_NMD,L41 orchestration,L41_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
958eb5cbbcbb4e664799,python,features/lstm_sequence_input.py,42,441,FORMAL_NMD,L42 orchestration,L42_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
ca9f73c5e354c89a6c09,python,features/lstm_sequence_input.py,43,442,FORMAL_NMD,L43 orchestration,L43_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
3898cb10bc2bbe411d90,python,features/lstm_sequence_input.py,44,443,FORMAL_NMD,L44 orchestration,L44_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
76cb8bc59c92e0a2a6d9,python,features/lstm_sequence_input.py,45,444,FORMAL_NMD,L45 orchestration,L45_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
d1984ff4c69ad1406d78,python,features/lstm_sequence_input.py,46,445,FORMAL_NMD,L46 orchestration,L46_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
989693aec57658ae80e3,python,features/lstm_sequence_input.py,47,446,FORMAL_NMD,L47 orchestration,L47_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
08340716f1a80eae3487,python,features/lstm_sequence_input.py,48,447,FORMAL_NMD,L48 orchestration,L48_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
412154f2aa834afade0f,python,features/lstm_sequence_input.py,49,448,FORMAL_NMD,L49 orchestration,L49_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
a4fc2a95154ea549873e,python,features/lstm_sequence_input.py,50,449,FORMAL_NMD,L50 orchestration,L50_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
27b92f0825f68342cb9a,python,features/lstm_sequence_input.py,51,450,FORMAL_NMD,L51 orchestration,L51_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
0b5a3c04e55307690983,python,features/lstm_sequence_input.py,52,451,FORMAL_NMD,L52 orchestration,L52_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
cf22bba11ff224ee7ff2,python,features/lstm_sequence_input.py,53,452,FORMAL_NMD,L53 orchestration,L53_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
fd97a718aa2b82e9fc44,python,features/lstm_sequence_input.py,54,453,FORMAL_NMD,L54 orchestration,L54_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/lstm_sequence_input.py 1-238,NOT_MARKET_DATA,,,LSTM/Transformer sequence canonical MVP contract (no Schwab leaves) | line anchored HEAD 6f410a7; Day3 c527b82 provenance; FIND-LSI1/LSI2 disclosed slice-only
