register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
443186da6cd74e7184a0,py,market_context.py,2,0,TEXT_LINE_MARKET_TOKEN,market_context.py — External market context for Ed Console.,market,instruments.*.fundamental.marketCap;instruments.*.fundamental.marketCapFloat;market_hours.bond;market_hours.bond.BON;market_hours.bond.BON.date;market_hours.bond.BON.isOpen;market_hours.bond.BON.marketType;market_hours.bond.BON.product;market_hours.bond.BON.productName;market_hours.bond.BON.sessionHours;market_hours.bond.BON.sessionHours.postMarket;market_hours.bond.BON.sessionHours.postMarket.*;market_hours.bond.BON.sessionHours.postMarket.*.end;market_hours.bond.BON.sessionHours.postMarket.*.start;market_hours.bond.BON.sessionHours.preMarket;market_hours.bond.BON.sessionHours.preMarket.*;market_hours.bond.BON.sessionHours.preMarket.*.end;market_hours.bond.BON.sessionHours.preMarket.*.start;market_hours.bond.BON.sessionHours.regularMarket;market_hours.bond.BON.sessionHours.regularMarket.*;market_hours.bond.BON.sessionHours.regularMarket.*.end;market_hours.bond.BON.sessionHours.regularMarket.*.start;market_hours.equity;market_hours.equity.EQ;market_hours.equity.EQ.date,streaming.content.*.ASKS.*.TOTAL_VOLUME;quotes.extended.totalVolume;streaming.content.*.BIDS.*.TOTAL_VOLUME,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
ecc3e24def6d825d831c,py,market_context.py,4,0,TEXT_LINE_MARKET_TOKEN,"Fetches VIX, SPY/QQQ, and top constituent quotes via the authenticated Schwab client.",quotes the,quotes.;quotes.assetMainType;quotes.assetSubType;quotes.extended.askPrice;quotes.extended.askSize;quotes.extended.bidPrice;quotes.extended.bidSize;quotes.extended.lastPrice;quotes.extended.lastSize;quotes.extended.mark;quotes.extended.quoteTime;quotes.extended.totalVolume;quotes.extended.tradeTime;quotes.fundamental.avg10DaysVolume;quotes.fundamental.avg1YearVolume;quotes.fundamental.declarationDate;quotes.fundamental.divAmount;quotes.fundamental.divExDate;quotes.fundamental.divFreq;quotes.fundamental.divPayAmount;quotes.fundamental.divPayDate;quotes.fundamental.divYield;quotes.fundamental.eps;quotes.fundamental.fundLeverageFactor;quotes.fundamental.lastEarningsDate,chains.putExpDateMap.*.volatility;chains.putExpDateMap.*.theoreticalVolatility;chains.volatility,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
7f6acac08c59346254b3,py,market_context.py,5,0,TEXT_LINE_MARKET_TOKEN,Uses safe_get_quote per ticker (consistent with existing app patterns).,per,instruments.*.fundamental.bookValuePerShare,chains.putExpDateMap.*.theta;streaming.content.*.ASK_SIZE;quotes.quote.askSize,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
75c903ce7208b6e55c45,py,market_context.py,19,0,TEXT_LINE_MARKET_TOKEN,def _positive_float_or_none(value) -> Optional[float]:,value float,chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare;instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat,chains.callExpDateMap.*.totalVolume;chains.putExpDateMap.*.totalVolume;chains.putExpDateMap.*.theoreticalVolatility,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
1252e8d55836ce29c7db,py,market_context.py,22,0,TEXT_LINE_MARKET_TOKEN,    return float_positive_or_none(value),return value,instruments.*.fundamental.returnOnAssets;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment;chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare,chains.putExpDateMap.*.totalVolume;quotes.quote.totalVolume;streaming.content.*.BIDS.*.TOTAL_VOLUME,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
7daf4ebc835f00e41ac8,py,market_context.py,25,0,TEXT_LINE_MARKET_TOKEN,def _float_or_none(value) -> Optional[float]:,value float,chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare;instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat,chains.callExpDateMap.*.totalVolume;chains.putExpDateMap.*.totalVolume;quotes.quote.totalVolume,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
7fd203f9b80e88b714ad,py,market_context.py,28,0,TEXT_LINE_MARKET_TOKEN,    return float_finite_or_none(value),return value,instruments.*.fundamental.returnOnAssets;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment;chains.callExpDateMap.*.extrinsicValue;chains.callExpDateMap.*.intrinsicValue;chains.callExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.timeValue;chains.putExpDateMap.*.extrinsicValue;chains.putExpDateMap.*.intrinsicValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.timeValue;instruments.*.fundamental.bookValuePerShare,streaming.content.*.BIDS.*.TOTAL_VOLUME;streaming.content.*.ASKS.*.TOTAL_VOLUME;streaming.content.*.BID_SIZE,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
4bc8aa4505fe070a62ff,py,market_context.py,33,0,TEXT_LINE_MARKET_TOKEN,    Front-month CME index futures for Schwab REST/stream (contract-specific).,index,chains.isIndex,streaming.content.*.ASK_SIZE;streaming.content.*.ASKS;streaming.content.*.BID_SIZE,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
e30df33a3daedd1ef0da,py,market_context.py,35,0,TEXT_LINE_MARKET_TOKEN,    Empty / unset = skip fetch (no error).,empty,pricehistory.empty,chains.putExpDateMap.*.rho;chains.putExpDateMap.*.theta;market_hours.future.ETH.isOpen,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
bfb6e89a688e856989df,py,market_context.py,41,0,TEXT_LINE_MARKET_TOKEN,"        (""RTY"", ""ED_FUTURES_RTY""),",rty,market_hours.future.RTY;market_hours.future.RTY.category;market_hours.future.RTY.date;market_hours.future.RTY.exchange;market_hours.future.RTY.isOpen;market_hours.future.RTY.marketType;market_hours.future.RTY.product;market_hours.future.RTY.productName;market_hours.future.RTY.sessionHours;market_hours.future.RTY.sessionHours.noTrading;market_hours.future.RTY.sessionHours.noTrading.*;market_hours.future.RTY.sessionHours.noTrading.*.end;market_hours.future.RTY.sessionHours.noTrading.*.start;market_hours.future.RTY.sessionHours.regularMarket;market_hours.future.RTY.sessionHours.regularMarket.*;market_hours.future.RTY.sessionHours.regularMarket.*.end;market_hours.future.RTY.sessionHours.regularMarket.*.start,quotes.quote.bidSize;quotes.extended.bidSize;quotes.quote.askSize,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
