register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
ab7f2f5306226423e975,python,mc_fusion_adjustment.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module doc/binary-search helpers/logging | line anchored HEAD 6b66a31 mc_fusion_adjustment.py trunk; post-fusion MC adjust
ac50b37f78fbef2892bd,python,mc_fusion_adjustment.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module doc/binary-search helpers/logging | line anchored HEAD 6b66a31 mc_fusion_adjustment.py trunk; post-fusion MC adjust
dd8392934d66d5a08ae5,py,mc_fusion_adjustment.py,3,0,TEXT_LINE_MARKET_TOKEN,Post-fusion Monte Carlo context: normalize path-level MC features and apply a,post,market_hours.bond.BON.sessionHours.postMarket;market_hours.bond.BON.sessionHours.postMarket.*;market_hours.bond.BON.sessionHours.postMarket.*.end;market_hours.bond.BON.sessionHours.postMarket.*.start;market_hours.equity.EQ.sessionHours.postMarket;market_hours.equity.EQ.sessionHours.postMarket.*;market_hours.equity.EQ.sessionHours.postMarket.*.end;market_hours.equity.EQ.sessionHours.postMarket.*.start;quotes.quote.postMarketChange;quotes.quote.postMarketPercentChange;streaming.content.*.POST_MARKET_NET_CHANGE;streaming.content.*.POST_MARKET_NET_CHANGE_PERCENT,chains.callExpDateMap.*.totalVolume;chains.putExpDateMap.*.totalVolume;chains.putExpDateMap.*.theoreticalVolatility,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
e8c8a0cc68e98e10971f,cross_validator,mc_fusion_adjustment.py,3,0,pattern_kind_miss,Post-fusion Monte Carlo context: normalize path-level MC features and apply a,post,market_hours.bond.BON.sessionHours.postMarket;market_hours.bond.BON.sessionHours.postMarket.*;market_hours.bond.BON.sessionHours.postMarket.*.end;market_hours.bond.BON.sessionHours.postMarket.*.start;market_hours.equity.EQ.sessionHours.postMarket;market_hours.equity.EQ.sessionHours.postMarket.*;market_hours.equity.EQ.sessionHours.postMarket.*.end;market_hours.equity.EQ.sessionHours.postMarket.*.start;quotes.quote.postMarketChange;quotes.quote.postMarketPercentChange;streaming.content.*.POST_MARKET_NET_CHANGE;streaming.content.*.POST_MARKET_NET_CHANGE_PERCENT,chains.callExpDateMap.*.totalVolume;chains.putExpDateMap.*.totalVolume;chains.putExpDateMap.*.theoreticalVolatility,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
eeb662c028361d30a127,python,mc_fusion_adjustment.py,4,402,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module doc/binary-search helpers/logging | line anchored HEAD 6b66a31 mc_fusion_adjustment.py trunk; post-fusion MC adjust
8c7b2234dd7b41b63fe1,python,mc_fusion_adjustment.py,5,403,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module doc/binary-search helpers/logging | line anchored HEAD 6b66a31 mc_fusion_adjustment.py trunk; post-fusion MC adjust
f73dc16faf301f2f60b0,python,mc_fusion_adjustment.py,6,404,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module doc/binary-search helpers/logging | line anchored HEAD 6b66a31 mc_fusion_adjustment.py trunk; post-fusion MC adjust
7b124a69821ad50520fa,python,mc_fusion_adjustment.py,7,405,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module doc/binary-search helpers/logging | line anchored HEAD 6b66a31 mc_fusion_adjustment.py trunk; post-fusion MC adjust
aa11eeed1bb0bf642d43,python,mc_fusion_adjustment.py,8,406,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module doc/binary-search helpers/logging | line anchored HEAD 6b66a31 mc_fusion_adjustment.py trunk; post-fusion MC adjust
6f4188320f041a62a39a,py,mc_fusion_adjustment.py,9,0,TEXT_LINE_MARKET_TOKEN,Monte Carlo is not a probability model here; it only modulates confidence / flat,model only,,chains.callExpDateMap.*.totalVolume;chains.putExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.theoreticalVolatility,CLAUDE chunk-1 disposition mc_fusion_adjustment.py 1-583,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
