register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
b97e73626f50a750df27,python,ml_predict.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,model load/cache/registry/isotonic maps/self-test | line anchored HEAD 4a2f5ab ml_predict.py trunk; parallel stack ML inference
04f14fc0a330885a5e65,py,ml_predict.py,2,0,TEXT_LINE_MARKET_TOKEN,Ed Console - ML Prediction Module (Phase 4 - Stacked Ensemble),prediction,,chains.callExpDateMap.*.delta;chains.putExpDateMap.*.delta;chains.callExpDateMap.*.theta,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
5c366607f84195fe3254,cross_validator,ml_predict.py,2,0,pattern_kind_miss,Ed Console - ML Prediction Module (Phase 4 - Stacked Ensemble),prediction,,chains.callExpDateMap.*.delta;chains.putExpDateMap.*.delta;chains.callExpDateMap.*.theta,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
f4c48ca94ede84c0209b,python,ml_predict.py,3,401,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,model load/cache/registry/isotonic maps/self-test | line anchored HEAD 4a2f5ab ml_predict.py trunk; parallel stack ML inference
745d25a5c230e550ac78,python,ml_predict.py,4,402,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,model load/cache/registry/isotonic maps/self-test | line anchored HEAD 4a2f5ab ml_predict.py trunk; parallel stack ML inference
8ba843028b0fc305d3c2,python,ml_predict.py,5,403,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,model load/cache/registry/isotonic maps/self-test | line anchored HEAD 4a2f5ab ml_predict.py trunk; parallel stack ML inference
02152c88bc3105125320,python,ml_predict.py,6,404,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,model load/cache/registry/isotonic maps/self-test | line anchored HEAD 4a2f5ab ml_predict.py trunk; parallel stack ML inference
aa7dc0b8ecf4b62e13ac,python,ml_predict.py,7,405,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,model load/cache/registry/isotonic maps/self-test | line anchored HEAD 4a2f5ab ml_predict.py trunk; parallel stack ML inference
32aae89e654d3ac7ea56,py,ml_predict.py,8,0,TEXT_LINE_MARKET_TOKEN,        XGBoost     - tabular snapshot features (per-ticker model),per model,instruments.*.fundamental.bookValuePerShare,chains.putExpDateMap.*.theta;chains.putExpDateMap.*.rho;quotes.quote.askSize,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
0f478048b3632feeb4bb,cross_validator,ml_predict.py,8,0,pattern_kind_miss,        XGBoost     - tabular snapshot features (per-ticker model),per model,instruments.*.fundamental.bookValuePerShare,chains.putExpDateMap.*.theta;chains.putExpDateMap.*.rho;quotes.quote.askSize,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
d4ab6e2d7c02c37336dd,py,ml_predict.py,9,0,TEXT_LINE_MARKET_TOKEN,        LSTM        - dual-stream candle sequences (shared model),model,,chains.callExpDateMap.*.delta;chains.callExpDateMap.*.theta;chains.callExpDateMap.*.gamma,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
447ed29ac77ad09e7d31,cross_validator,ml_predict.py,9,0,pattern_kind_miss,        LSTM        - dual-stream candle sequences (shared model),model,,chains.callExpDateMap.*.delta;chains.callExpDateMap.*.theta;chains.callExpDateMap.*.gamma,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
a53974d3cc0210273dbf,py,ml_predict.py,10,0,TEXT_LINE_MARKET_TOKEN,        Transformer - attention-based candle sequences (shared model),model,,chains.callExpDateMap.*.theta;chains.putExpDateMap.*.delta;chains.putExpDateMap.*.theta,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
06d022aa4e123805067a,cross_validator,ml_predict.py,10,0,pattern_kind_miss,        Transformer - attention-based candle sequences (shared model),model,,chains.callExpDateMap.*.theta;chains.putExpDateMap.*.delta;chains.putExpDateMap.*.theta,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
619b77738ce6e8d6e5d7,python,ml_predict.py,11,406,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,model load/cache/registry/isotonic maps/self-test | line anchored HEAD 4a2f5ab ml_predict.py trunk; parallel stack ML inference
b308025db5c62488211a,python,ml_predict.py,12,407,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,model load/cache/registry/isotonic maps/self-test | line anchored HEAD 4a2f5ab ml_predict.py trunk; parallel stack ML inference
be2f491fdf094ef35d18,python,ml_predict.py,13,408,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE chunk-1 disposition ml_predict.py 1-1631,NOT_MARKET_DATA,,,model load/cache/registry/isotonic maps/self-test | line anchored HEAD 4a2f5ab ml_predict.py trunk; parallel stack ML inference
