register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
344a80c0f3fd41731fab,python,monte_carlo.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,numpy path sim / constants / self-test | line anchored HEAD e4dc72b monte_carlo.py trunk; MC path producer for fusion/sizing
dc748e8b20a075c465ed,python,monte_carlo.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,numpy path sim / constants / self-test | line anchored HEAD e4dc72b monte_carlo.py trunk; MC path producer for fusion/sizing
f4141463ac49502ccdc9,py,monte_carlo.py,3,0,TEXT_LINE_MARKET_TOKEN,Regime-aware stochastic-volatility Monte Carlo path engine.,regime volatility,chains.callExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.volatility;chains.putExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.volatility;chains.volatility,chains.putExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.volatility;chains.callExpDateMap.*.theoreticalVolatility,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
2378d360177a72a9ee3c,cross_validator,monte_carlo.py,3,0,pattern_kind_miss,Regime-aware stochastic-volatility Monte Carlo path engine.,regime volatility,chains.callExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.volatility;chains.putExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.volatility;chains.volatility,chains.putExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.volatility;chains.callExpDateMap.*.theoreticalVolatility,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
0f0b763fa9269d5d4107,python,monte_carlo.py,4,402,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,numpy path sim / constants / self-test | line anchored HEAD e4dc72b monte_carlo.py trunk; MC path producer for fusion/sizing
7587c4d1b918777b36d2,py,monte_carlo.py,5,0,TEXT_LINE_MARKET_TOKEN,Phase 5 of the Canonical Implementation Roadmap.,the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,chains.callExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.theta,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
56c9c7b76df682ed6a04,cross_validator,monte_carlo.py,5,0,pattern_kind_miss,Phase 5 of the Canonical Implementation Roadmap.,the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,chains.callExpDateMap.*.theoreticalOptionValue;chains.putExpDateMap.*.theoreticalOptionValue;chains.callExpDateMap.*.theta,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
c47ccfbff5265eed69eb,py,monte_carlo.py,6,0,TEXT_LINE_MARKET_TOKEN,"Phase 1 Consultant Upgrade: regime-conditioned sigma, state-aware drift, shock behavior.",regime,,chains.callExpDateMap.*.theta;chains.putExpDateMap.*.askSize;chains.putExpDateMap.*.theta,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
8a180cfa17357046d409,cross_validator,monte_carlo.py,6,0,pattern_kind_miss,"Phase 1 Consultant Upgrade: regime-conditioned sigma, state-aware drift, shock behavior.",regime,,chains.callExpDateMap.*.theta;chains.putExpDateMap.*.askSize;chains.putExpDateMap.*.theta,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,module docstring (AST); tools/track_a_module_docstring_nmd_pass.py
2130e723ccffcaeff122,python,monte_carlo.py,7,403,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE chunk-1 disposition monte_carlo.py 1-425,NOT_MARKET_DATA,,,numpy path sim / constants / self-test | line anchored HEAD e4dc72b monte_carlo.py trunk; MC path producer for fusion/sizing
