register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
d09ed96468157bb8792b,py,live_market_plane.py,137,0,TEXT_LINE_MARKET_TOKEN,        if quote_mid is not None and bid is not None and ask is not None:,bid ask,chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidAskSize;chains.callExpDateMap.*.bidSize;chains.putExpDateMap.*.bid;chains.putExpDateMap.*.bidAskSize;chains.putExpDateMap.*.bidSize;chains.underlying.bid;chains.underlying.bidSize;quotes.extended.bidPrice;quotes.extended.bidSize;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;streaming.content.*.BIDS.*.BIDS.*.BID_VOLUME;streaming.content.*.BIDS.*.BID_PRICE;streaming.content.*.BID_ID;streaming.content.*.BID_MIC_ID;streaming.content.*.BID_PRICE;streaming.content.*.BID_SIZE;streaming.content.*.BID_TIME_MILLIS;chains.callExpDateMap.*.ask;chains.callExpDateMap.*.askSize;chains.putExpDateMap.*.ask;chains.putExpDateMap.*.askSize,quotes.quote.bidPrice;quotes.quote.lastPrice;quotes.quote.lowPrice,Phase 3 D17 adapter wire disposition slice (line-level trace),KEEP_DERIVED,,,lexical spread/display derived from Schwab bid/ask/mark | register_id=d09ed96468157bb8792b
1d4bfd5ed307d0c87083,py,live_market_plane.py,149,0,TEXT_LINE_MARKET_TOKEN,"        ""spot_disp"": f""{float(spot_f):.2f}"",",float,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat,chains.putExpDateMap.*.bidSize;quotes.quote.bidSize;chains.putExpDateMap.*.askSize,Phase 3 D17 adapter wire disposition slice (line-level trace),KEEP_DERIVED,,,lexical spread/display derived from Schwab bid/ask/mark | register_id=1d4bfd5ed307d0c87083
d8590b3a6dc081fb1c1b,py,live_market_plane.py,150,0,TEXT_LINE_MARKET_TOKEN,"        ""bid_disp"": f""{float(bid):.2f}"" if bid is not None else ""—"",",float bid,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat;chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidAskSize;chains.callExpDateMap.*.bidSize;chains.putExpDateMap.*.bid;chains.putExpDateMap.*.bidAskSize;chains.putExpDateMap.*.bidSize;chains.underlying.bid;chains.underlying.bidSize;quotes.extended.bidPrice;quotes.extended.bidSize;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;streaming.content.*.BIDS.*.BIDS.*.BID_VOLUME;streaming.content.*.BIDS.*.BID_PRICE;streaming.content.*.BID_ID;streaming.content.*.BID_MIC_ID;streaming.content.*.BID_PRICE;streaming.content.*.BID_SIZE;streaming.content.*.BID_TIME_MILLIS,quotes.quote.bidSize;chains.underlying.bidSize;chains.putExpDateMap.*.bidSize,Phase 3 D17 adapter wire disposition slice (line-level trace),KEEP_DERIVED,,,lexical spread/display derived from Schwab bid/ask/mark | register_id=d8590b3a6dc081fb1c1b
a4581785fa6fbeac4c75,py,live_market_plane.py,151,0,TEXT_LINE_MARKET_TOKEN,"        ""ask_disp"": f""{float(ask):.2f}"" if ask is not None else ""—"",",float ask,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat;chains.callExpDateMap.*.ask;chains.callExpDateMap.*.askSize;chains.callExpDateMap.*.bidAskSize;chains.putExpDateMap.*.ask;chains.putExpDateMap.*.askSize;chains.putExpDateMap.*.bidAskSize;chains.underlying.ask;chains.underlying.askSize;quotes.extended.askPrice;quotes.extended.askSize;quotes.quote.askMICId;quotes.quote.askPrice;quotes.quote.askSize;quotes.quote.askTime;streaming.content.*.ASKS.*.ASKS.*.ASK_VOLUME;streaming.content.*.ASKS.*.ASK_PRICE;streaming.content.*.ASK_ID;streaming.content.*.ASK_MIC_ID;streaming.content.*.ASK_PRICE;streaming.content.*.ASK_SIZE;streaming.content.*.ASK_TIME_MILLIS,quotes.quote.askSize;chains.callExpDateMap.*.askSize;chains.putExpDateMap.*.askSize,Phase 3 D17 adapter wire disposition slice (line-level trace),KEEP_DERIVED,,,lexical spread/display derived from Schwab bid/ask/mark | register_id=a4581785fa6fbeac4c75
30bd6b2b1095672f6c6c,py,live_market_plane.py,155,0,TEXT_LINE_MARKET_TOKEN,"        ""spread_pts"": round(float(ask) - float(bid), 4) if bid is not None and ask is not None else None,",float ask bid,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat;chains.callExpDateMap.*.ask;chains.callExpDateMap.*.askSize;chains.callExpDateMap.*.bidAskSize;chains.putExpDateMap.*.ask;chains.putExpDateMap.*.askSize;chains.putExpDateMap.*.bidAskSize;chains.underlying.ask;chains.underlying.askSize;quotes.extended.askPrice;quotes.extended.askSize;quotes.quote.askMICId;quotes.quote.askPrice;quotes.quote.askSize;quotes.quote.askTime;streaming.content.*.ASKS.*.ASKS.*.ASK_VOLUME;streaming.content.*.ASKS.*.ASK_PRICE;streaming.content.*.ASK_ID;streaming.content.*.ASK_MIC_ID;streaming.content.*.ASK_PRICE;streaming.content.*.ASK_SIZE;streaming.content.*.ASK_TIME_MILLIS;chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidSize,quotes.quote.askSize;quotes.quote.bidSize;chains.putExpDateMap.*.bidSize,Phase 3 D17 adapter wire disposition slice (line-level trace),KEEP_DERIVED,,,lexical spread/display derived from Schwab bid/ask/mark | register_id=30bd6b2b1095672f6c6c
ba019d02dd237d0c86a3,py,live_market_plane.py,178,0,TEXT_LINE_MARKET_TOKEN,"            ""spread"": ""schwab_bid_ask"" if bid is not None and ask is not None else ""unavailable_missing_bid_or_ask"",",bid ask,chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidAskSize;chains.callExpDateMap.*.bidSize;chains.putExpDateMap.*.bid;chains.putExpDateMap.*.bidAskSize;chains.putExpDateMap.*.bidSize;chains.underlying.bid;chains.underlying.bidSize;quotes.extended.bidPrice;quotes.extended.bidSize;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;streaming.content.*.BIDS.*.BIDS.*.BID_VOLUME;streaming.content.*.BIDS.*.BID_PRICE;streaming.content.*.BID_ID;streaming.content.*.BID_MIC_ID;streaming.content.*.BID_PRICE;streaming.content.*.BID_SIZE;streaming.content.*.BID_TIME_MILLIS;chains.callExpDateMap.*.ask;chains.callExpDateMap.*.askSize;chains.putExpDateMap.*.ask;chains.putExpDateMap.*.askSize,chains.callExpDateMap.*.bidSize;chains.callExpDateMap.*.askSize;chains.putExpDateMap.*.bidSize,Phase 3 D17 adapter wire disposition slice (line-level trace),KEEP_DERIVED,,,lexical spread/display derived from Schwab bid/ask/mark | register_id=ba019d02dd237d0c86a3
5705329be00c39ccb749,python,live_market_plane.py,95,27,DICT_GET_MARKET_NULLABLE,.get('LAST_PRICE'),LAST_PRICE get,,chains.putExpDateMap.*.theoreticalVolatility;chains.putExpDateMap.*.volatility;chains.callExpDateMap.*.volatility,Phase 3 D17 adapter wire disposition slice (line-level trace),REPLACED,streaming.content.*.LAST_PRICE,governance/artifacts/perf_proof/replacements/pp_v4b_server_fast_quote_leaf_provenance.json,record_from_level_one_equity item.get LAST_PRICE | live_market_plane.py L95
3c6d9157455f5618f9b2,python,live_market_plane.py,96,27,DICT_GET_MARKET_NULLABLE,.get('MARK'),MARK get,chains.callExpDateMap.*.mark;chains.callExpDateMap.*.markChange;chains.callExpDateMap.*.markPercentChange;chains.putExpDateMap.*.mark;chains.putExpDateMap.*.markChange;chains.putExpDateMap.*.markPercentChange;chains.underlying.mark;chains.underlying.markChange;chains.underlying.markPercentChange;quotes.extended.mark;quotes.quote.mark;quotes.quote.markChange;quotes.quote.markPercentChange;streaming.content.*.MARK;streaming.content.*.MARK_CHANGE;streaming.content.*.MARK_CHANGE_PERCENT,chains.putExpDateMap.*.gamma;chains.callExpDateMap.*.gamma;chains.putExpDateMap.*.theta,Phase 3 D17 adapter wire disposition slice (line-level trace),REPLACED,streaming.content.*.MARK,governance/artifacts/perf_proof/replacements/pp_v4b_server_fast_quote_leaf_provenance.json,record_from_level_one_equity item.get MARK | live_market_plane.py L96
54f28419b563197b79b6,python,live_market_plane.py,97,26,DICT_GET_MARKET_NULLABLE,.get('BID_PRICE'),BID_PRICE get,,quotes.extended.bidSize;chains.putExpDateMap.*.bidSize;quotes.quote.bidSize,Phase 3 D17 adapter wire disposition slice (line-level trace),REPLACED,streaming.content.*.BID_PRICE,governance/artifacts/perf_proof/replacements/pp_v4b_server_fast_quote_leaf_provenance.json,record_from_level_one_equity item.get BID_PRICE | live_market_plane.py L97
6fe4c8273e3e11c1b218,python,live_market_plane.py,98,26,DICT_GET_MARKET_NULLABLE,.get('ASK_PRICE'),ASK_PRICE get,,chains.putExpDateMap.*.vega;chains.putExpDateMap.*.askSize;chains.putExpDateMap.*.theta,Phase 3 D17 adapter wire disposition slice (line-level trace),REPLACED,streaming.content.*.ASK_PRICE,governance/artifacts/perf_proof/replacements/pp_v4b_server_fast_quote_leaf_provenance.json,record_from_level_one_equity item.get ASK_PRICE | live_market_plane.py L98
fbc802d971684fc1f3d9,python,live_market_plane.py,103,15,DICT_GET_MARKET_NULLABLE,.get('bid'),bid get,chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidAskSize;chains.callExpDateMap.*.bidSize;chains.putExpDateMap.*.bid;chains.putExpDateMap.*.bidAskSize;chains.putExpDateMap.*.bidSize;chains.underlying.bid;chains.underlying.bidSize;quotes.extended.bidPrice;quotes.extended.bidSize;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;streaming.content.*.BIDS.*.BIDS.*.BID_VOLUME;streaming.content.*.BIDS.*.BID_PRICE;streaming.content.*.BID_ID;streaming.content.*.BID_MIC_ID;streaming.content.*.BID_PRICE;streaming.content.*.BID_SIZE;streaming.content.*.BID_TIME_MILLIS,quotes.extended.bidSize;quotes.quote.bidSize;quotes.extended.askSize,Phase 3 D17 adapter wire disposition slice (line-level trace),KEEP_DERIVED,,,prev plane cache bid (carried from prior Schwab ingest) | live_market_plane.py L103
