register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
0315e7083881702be5c2,py,market_state.py,595,0,TEXT_LINE_MARKET_TOKEN,"    walls: list | None,",list,chains.callExpDateMap.*.optionDeliverablesList;chains.callExpDateMap.*.optionDeliverablesList.*;chains.callExpDateMap.*.optionDeliverablesList.*.assetType;chains.callExpDateMap.*.optionDeliverablesList.*.currencyType;chains.callExpDateMap.*.optionDeliverablesList.*.deliverableUnits;chains.callExpDateMap.*.optionDeliverablesList.*.symbol;chains.putExpDateMap.*.optionDeliverablesList;chains.putExpDateMap.*.optionDeliverablesList.*;chains.putExpDateMap.*.optionDeliverablesList.*.assetType;chains.putExpDateMap.*.optionDeliverablesList.*.currencyType;chains.putExpDateMap.*.optionDeliverablesList.*.deliverableUnits;chains.putExpDateMap.*.optionDeliverablesList.*.symbol,chains.callExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.lastSize;chains.callExpDateMap.*.low52Week,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
2fa29c3227ca7f7e9c0b,py,market_state.py,596,0,TEXT_LINE_MARKET_TOKEN,") -> tuple[float | None, list[str], dict]:",float list,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat;chains.callExpDateMap.*.optionDeliverablesList;chains.callExpDateMap.*.optionDeliverablesList.*;chains.callExpDateMap.*.optionDeliverablesList.*.assetType;chains.callExpDateMap.*.optionDeliverablesList.*.currencyType;chains.callExpDateMap.*.optionDeliverablesList.*.deliverableUnits;chains.callExpDateMap.*.optionDeliverablesList.*.symbol;chains.putExpDateMap.*.optionDeliverablesList;chains.putExpDateMap.*.optionDeliverablesList.*;chains.putExpDateMap.*.optionDeliverablesList.*.assetType;chains.putExpDateMap.*.optionDeliverablesList.*.currencyType;chains.putExpDateMap.*.optionDeliverablesList.*.deliverableUnits;chains.putExpDateMap.*.optionDeliverablesList.*.symbol,chains.putExpDateMap.*.theoreticalVolatility;chains.callExpDateMap.*.theoreticalVolatility;chains.volatility,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
4509a4e18c0861cfd803,py,market_state.py,613,0,TEXT_LINE_MARKET_TOKEN,"            ""note"": ""score_option_expression returned None (missing strike/Greeks row?)"",",note strike greeks,chains.callExpDateMap.*.deliverableNote;chains.putExpDateMap.*.deliverableNote;chains.callExpDateMap.*.strikePrice;chains.putExpDateMap.*.strikePrice,quotes.quote.askSize;quotes.quote.bidSize;streaming.content.*.BIDS,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
24792e7466b50c990c59,py,market_state.py,649,0,TEXT_LINE_MARKET_TOKEN,"        ""volume"": oe.volume,",volume,chains.callExpDateMap.*.totalVolume;chains.putExpDateMap.*.totalVolume;chains.underlying.totalVolume;instruments.*.fundamental.avg10DaysVolume;instruments.*.fundamental.avg1DayVolume;instruments.*.fundamental.avg3MonthVolume;instruments.*.fundamental.dtnVolume;movers.screeners.*.totalVolume;movers.screeners.*.volume;pricehistory.candles.*.volume;quotes.extended.totalVolume;quotes.fundamental.avg10DaysVolume;quotes.fundamental.avg1YearVolume;quotes.quote.totalVolume;streaming.content.*.ASKS.*.ASKS.*.ASK_VOLUME;streaming.content.*.ASKS.*.TOTAL_VOLUME;streaming.content.*.BIDS.*.BIDS.*.BID_VOLUME;streaming.content.*.BIDS.*.TOTAL_VOLUME;streaming.content.*.TOTAL_VOLUME;streaming.content.*.VOLUME,quotes.quote.totalVolume;quotes.extended.totalVolume;movers.screeners.*.totalVolume,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
28c5fac7be7cb8f99fff,py,market_state.py,651,0,TEXT_LINE_MARKET_TOKEN,"        ""gamma"": oe.gamma,",gamma,chains.callExpDateMap.*.gamma;chains.putExpDateMap.*.gamma,chains.callExpDateMap.*.gamma;chains.putExpDateMap.*.gamma;chains.callExpDateMap.*.vega,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
7b3f2a87208c289faa97,py,market_state.py,663,0,TEXT_LINE_MARKET_TOKEN,"    walls: list | None = None,",list,chains.callExpDateMap.*.optionDeliverablesList;chains.callExpDateMap.*.optionDeliverablesList.*;chains.callExpDateMap.*.optionDeliverablesList.*.assetType;chains.callExpDateMap.*.optionDeliverablesList.*.currencyType;chains.callExpDateMap.*.optionDeliverablesList.*.deliverableUnits;chains.callExpDateMap.*.optionDeliverablesList.*.symbol;chains.putExpDateMap.*.optionDeliverablesList;chains.putExpDateMap.*.optionDeliverablesList.*;chains.putExpDateMap.*.optionDeliverablesList.*.assetType;chains.putExpDateMap.*.optionDeliverablesList.*.currencyType;chains.putExpDateMap.*.optionDeliverablesList.*.deliverableUnits;chains.putExpDateMap.*.optionDeliverablesList.*.symbol,chains.callExpDateMap.*.lastSize;quotes.quote.lastSize;quotes.extended.lastSize,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
b0dae654c91c19dce513,py,market_state.py,702,0,TEXT_LINE_MARKET_TOKEN,"    strikes = sorted({float(c[""strikePrice""]) for c in side_contracts",float,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat,quotes.quote.askSize;quotes.quote.bidSize;chains.putExpDateMap.*.askSize,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
6bfce5954e97aed6e144,py,market_state.py,831,0,TEXT_LINE_MARKET_TOKEN,            if abs(float(sp) - kf) >= 0.01:,float,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat,chains.putExpDateMap.*.askSize;chains.putExpDateMap.*.bidSize;chains.putExpDateMap.*.highPrice,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
dc49a381c249dfd22e7a,py,market_state.py,836,0,TEXT_LINE_MARKET_TOKEN,"            b = float(ct.get(""bid"")) if ct.get(""bid"") is not None else None",float bid,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat;chains.callExpDateMap.*.bid;chains.callExpDateMap.*.bidAskSize;chains.callExpDateMap.*.bidSize;chains.putExpDateMap.*.bid;chains.putExpDateMap.*.bidAskSize;chains.putExpDateMap.*.bidSize;chains.underlying.bid;chains.underlying.bidSize;quotes.extended.bidPrice;quotes.extended.bidSize;quotes.quote.bidMICId;quotes.quote.bidPrice;quotes.quote.bidSize;quotes.quote.bidTime;streaming.content.*.BIDS.*.BIDS.*.BID_VOLUME;streaming.content.*.BIDS.*.BID_PRICE;streaming.content.*.BID_ID;streaming.content.*.BID_MIC_ID;streaming.content.*.BID_PRICE;streaming.content.*.BID_SIZE;streaming.content.*.BID_TIME_MILLIS,chains.volatility;quotes.quote.bidSize;streaming.content.*.BIDS.*.BIDS,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
6b285cdb444a3c8b0b95,py,market_state.py,837,0,TEXT_LINE_MARKET_TOKEN,"            a = float(ct.get(""ask"")) if ct.get(""ask"") is not None else None",float ask,instruments.*.fundamental.marketCapFloat;instruments.*.fundamental.shortIntToFloat;chains.callExpDateMap.*.ask;chains.callExpDateMap.*.askSize;chains.callExpDateMap.*.bidAskSize;chains.putExpDateMap.*.ask;chains.putExpDateMap.*.askSize;chains.putExpDateMap.*.bidAskSize;chains.underlying.ask;chains.underlying.askSize;quotes.extended.askPrice;quotes.extended.askSize;quotes.quote.askMICId;quotes.quote.askPrice;quotes.quote.askSize;quotes.quote.askTime;streaming.content.*.ASKS.*.ASKS.*.ASK_VOLUME;streaming.content.*.ASKS.*.ASK_PRICE;streaming.content.*.ASK_ID;streaming.content.*.ASK_MIC_ID;streaming.content.*.ASK_PRICE;streaming.content.*.ASK_SIZE;streaming.content.*.ASK_TIME_MILLIS,chains.volatility;chains.callExpDateMap.*.theta;chains.putExpDateMap.*.theta,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved,NOT_MARKET_DATA,,,Phase 5B D17 market_state mixed-line lexical NOT_MARKET_DATA — register_id-safe merge; wire/BINOP co-located rows preserved
