register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
ceb05c8df9b7808a6e10,python,server.py,3001,8,SUBSCRIPT_MARKET_KEY,"subscript[... ""streaming_plane""]",streaming_plane,,streaming.content.*.VOLUME;streaming.;streaming.content.*.BIDS,V3 G1 Python,UNREVIEWED,,,
c3fbc7e470d050635118,cross_validator,server.py,3031,0,pattern_kind_miss,    return out,return,instruments.*.fundamental.returnOnAssets;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment,instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.returnOnInvestment;market_hours.future.HE.sessionHours.noTrading.*.end,V3 G2 cross-validator (CSV vocabulary),UNREVIEWED,,,independent path vs python AST
6b4c7a0c49207c4a368c,cross_validator,server.py,3035,0,pattern_kind_miss,"# CORE DATA FETCH — runs the full pipeline, returns MarketState dict",the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,streaming.content.*.DIVIDEND_YIELD;quotes.fundamental.divFreq;streaming.content.*.key,V3 G2 cross-validator (CSV vocabulary),UNREVIEWED,,,independent path vs python AST
3efdce636a0a6145c131,cross_validator,server.py,3036,0,pattern_kind_miss,# When log_only=True: runs the full pipeline for DB logging but returns,the,chains.callExpDateMap.*.inTheMoney;chains.putExpDateMap.*.inTheMoney,streaming.command;streaming.content.*.seq;streaming.content.*.assetMainType,V3 G2 cross-validator (CSV vocabulary),UNREVIEWED,,,independent path vs python AST
b9ad5c512c624cb99f73,python,server.py,3047,24,TIME_MONOTONIC,time.monotonic(),time monotonic,chains.callExpDateMap.*.quoteTimeInLong;chains.callExpDateMap.*.timeValue;chains.callExpDateMap.*.tradeTimeInLong;chains.putExpDateMap.*.quoteTimeInLong;chains.putExpDateMap.*.timeValue;chains.putExpDateMap.*.tradeTimeInLong;chains.underlying.quoteTime;chains.underlying.tradeTime;quotes.extended.quoteTime;quotes.extended.tradeTime;quotes.quote.askTime;quotes.quote.bidTime;quotes.quote.quoteTime;quotes.quote.tradeTime;quotes.regular.regularMarketTradeTime;streaming.content.*.ASK_TIME_MILLIS;streaming.content.*.BID_TIME_MILLIS;streaming.content.*.BOOK_TIME;streaming.content.*.CHART_TIME_MILLIS;streaming.content.*.QUOTE_TIME_MILLIS;streaming.content.*.TRADE_TIME_MILLIS,chains.underlying.tradeTime;quotes.quote.tradeTime;chains.underlying.quoteTime,V3 G1 time,UNREVIEWED,,,
23afbbf5a30375adcd2a,python,server.py,3058,13,DATETIME_NOW,datetime.now(),datetime now,pricehistory.candles.*.datetime,quotes.extended.tradeTime;pricehistory.candles.*.datetime;quotes.quote.tradeTime,V3 G1 time,UNREVIEWED,,,
912c2a584769af6e189c,cross_validator,server.py,3060,0,pattern_kind_miss,    # ── Global market context — session_label before quote parse (shared across tickers) ──,market quote,instruments.*.fundamental.marketCap;instruments.*.fundamental.marketCapFloat;market_hours.bond;market_hours.bond.BON;market_hours.bond.BON.date;market_hours.bond.BON.isOpen;market_hours.bond.BON.marketType;market_hours.bond.BON.product;market_hours.bond.BON.productName;market_hours.bond.BON.sessionHours;market_hours.bond.BON.sessionHours.postMarket;market_hours.bond.BON.sessionHours.postMarket.*;market_hours.bond.BON.sessionHours.postMarket.*.end;market_hours.bond.BON.sessionHours.postMarket.*.start;market_hours.bond.BON.sessionHours.preMarket;market_hours.bond.BON.sessionHours.preMarket.*;market_hours.bond.BON.sessionHours.preMarket.*.end;market_hours.bond.BON.sessionHours.preMarket.*.start;market_hours.bond.BON.sessionHours.regularMarket;market_hours.bond.BON.sessionHours.regularMarket.*;market_hours.bond.BON.sessionHours.regularMarket.*.end;market_hours.bond.BON.sessionHours.regularMarket.*.start;market_hours.equity;market_hours.equity.EQ;market_hours.equity.EQ.date,market_hours.equity.EQ.sessionHours.postMarket.*.end;market_hours.equity.EQ.sessionHours.preMarket.*.end;market_hours.equity.EQ.sessionHours.postMarket.*,V3 G2 cross-validator (CSV vocabulary),UNREVIEWED,,,independent path vs python AST
7a7f32817126fd9ff2d9,cross_validator,server.py,3063,0,pattern_kind_miss,"    session_label = mkt_ctx.session_label   # ""RTH"" | ""Pre-Market"" | ""After-Hours"" | ""Closed""",pre market hours,market_hours.bond.BON.sessionHours.preMarket;market_hours.bond.BON.sessionHours.preMarket.*;market_hours.bond.BON.sessionHours.preMarket.*.end;market_hours.bond.BON.sessionHours.preMarket.*.start;market_hours.equity.EQ.sessionHours.preMarket;market_hours.equity.EQ.sessionHours.preMarket.*;market_hours.equity.EQ.sessionHours.preMarket.*.end;market_hours.equity.EQ.sessionHours.preMarket.*.start;instruments.*.fundamental.marketCap;instruments.*.fundamental.marketCapFloat;market_hours.bond;market_hours.bond.BON;market_hours.bond.BON.date;market_hours.bond.BON.isOpen;market_hours.bond.BON.marketType;market_hours.bond.BON.product;market_hours.bond.BON.productName;market_hours.bond.BON.sessionHours;market_hours.bond.BON.sessionHours.postMarket;market_hours.bond.BON.sessionHours.postMarket.*;market_hours.bond.BON.sessionHours.postMarket.*.end;market_hours.bond.BON.sessionHours.postMarket.*.start;market_hours.bond.BON.sessionHours.regularMarket;market_hours.bond.BON.sessionHours.regularMarket.*;market_hours.bond.BON.sessionHours.regularMarket.*.end,market_hours.future.RTY.sessionHours.noTrading.*.end;market_hours.future.RTY.sessionHours.noTrading.*.start;market_hours.future.RTY.sessionHours,V3 G2 cross-validator (CSV vocabulary),UNREVIEWED,,,independent path vs python AST
03f0dfeefa10c80153d8,cross_validator,server.py,3065,0,pattern_kind_miss,    # ── Chain (no dependency on this ticker's equity quote; Schwab centers strikes server-side) ──,chain equity quote,chains.isChainTruncated;instruments.*.fundamental.ltDebtToEquity;instruments.*.fundamental.returnOnEquity;instruments.*.fundamental.totalDebtToEquity;market_hours.equity;market_hours.equity.EQ;market_hours.equity.EQ.date;market_hours.equity.EQ.isOpen;market_hours.equity.EQ.marketType;market_hours.equity.EQ.product;market_hours.equity.EQ.productName;market_hours.equity.EQ.sessionHours;market_hours.equity.EQ.sessionHours.postMarket;market_hours.equity.EQ.sessionHours.postMarket.*;market_hours.equity.EQ.sessionHours.postMarket.*.end;market_hours.equity.EQ.sessionHours.postMarket.*.start;market_hours.equity.EQ.sessionHours.preMarket;market_hours.equity.EQ.sessionHours.preMarket.*;market_hours.equity.EQ.sessionHours.preMarket.*.end;market_hours.equity.EQ.sessionHours.preMarket.*.start;market_hours.equity.EQ.sessionHours.regularMarket;market_hours.equity.EQ.sessionHours.regularMarket.*;market_hours.equity.EQ.sessionHours.regularMarket.*.end;market_hours.equity.EQ.sessionHours.regularMarket.*.start;chains.callExpDateMap.*.quoteTimeInLong,chains.underlyingPrice;chains.underlying.mark;chains.underlying.highPrice,V3 G2 cross-validator (CSV vocabulary),UNREVIEWED,,,independent path vs python AST
dfaccc9ec7d5dc4d7bc6,cross_validator,server.py,3071,0,pattern_kind_miss,"        raise HTTPException(status_code=502, detail=""Chain fetch failed"")",chain,chains.isChainTruncated,chains.status;chains.putExpDateMap.*.settlementType;chains.putExpDateMap.*.deliverableNote,V3 G2 cross-validator (CSV vocabulary),UNREVIEWED,,,independent path vs python AST
