canonical_field,source_endpoints,example_raw_field,category,likely_use,priority,first_seen,last_seen
chains.assetMainType,chains,assetMainType,unknown,ui_only,low,,2026-08-15
chains.assetSubType,chains,assetSubType,unknown,unknown,low,,2026-08-15
chains.callExpDateMap,chains,callExpDateMap,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*,chains,callExpDateMap.2028-12-15:955.760.0.0,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.ask,chains,callExpDateMap.2028-12-15:955.760.0.0.ask,bid_ask,unknown,medium,,2026-08-15
chains.callExpDateMap.*.askSize,chains,callExpDateMap.2028-12-15:955.760.0.0.askSize,bid_ask,direct_order_flow,high,,2026-08-15
chains.callExpDateMap.*.bid,chains,callExpDateMap.2028-12-15:955.760.0.0.bid,bid_ask,unknown,medium,,2026-08-15
chains.callExpDateMap.*.bidAskSize,chains,callExpDateMap.2028-12-15:955.760.0.0.bidAskSize,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.bidSize,chains,callExpDateMap.2028-12-15:955.760.0.0.bidSize,bid_ask,direct_order_flow,high,,2026-08-15
chains.callExpDateMap.*.breakEven,chains,callExpDateMap.*.breakEven,unclassified,unreviewed,unreviewed,2026-08-15,2026-08-15
chains.callExpDateMap.*.closePrice,chains,callExpDateMap.2028-12-15:955.760.0.0.closePrice,bid_ask,unknown,medium,,2026-08-15
chains.callExpDateMap.*.daysToExpiration,chains,callExpDateMap.2028-12-15:955.760.0.0.daysToExpiration,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.deliverableNote,chains,callExpDateMap.2028-12-15:955.760.0.0.deliverableNote,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.delta,chains,callExpDateMap.2028-12-15:955.760.0.0.delta,greeks,risk_model,high,,2026-08-15
chains.callExpDateMap.*.description,chains,callExpDateMap.2028-12-15:955.760.0.0.description,options_chain,ui_only,low,,2026-08-15
chains.callExpDateMap.*.exchangeName,chains,callExpDateMap.2028-12-15:955.760.0.0.exchangeName,options_chain,ui_only,medium,,2026-08-15
chains.callExpDateMap.*.exerciseType,chains,callExpDateMap.2028-12-15:955.760.0.0.exerciseType,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.expirationDate,chains,callExpDateMap.2028-12-15:955.760.0.0.expirationDate,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.expirationType,chains,callExpDateMap.2028-12-15:955.760.0.0.expirationType,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.extrinsicValue,chains,callExpDateMap.2028-12-15:955.760.0.0.extrinsicValue,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.gamma,chains,callExpDateMap.2028-12-15:955.760.0.0.gamma,greeks,risk_model,high,,2026-08-15
chains.callExpDateMap.*.high52Week,chains,callExpDateMap.2028-12-15:955.760.0.0.high52Week,key_levels,key_levels,medium,,2026-08-15
chains.callExpDateMap.*.highPrice,chains,callExpDateMap.2028-12-15:955.760.0.0.highPrice,bid_ask,unknown,medium,,2026-08-15
chains.callExpDateMap.*.inTheMoney,chains,callExpDateMap.2028-12-15:955.760.0.0.inTheMoney,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.intrinsicValue,chains,callExpDateMap.2028-12-15:955.760.0.0.intrinsicValue,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.last,chains,callExpDateMap.2028-12-15:955.760.0.0.last,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.lastSize,chains,callExpDateMap.2028-12-15:955.760.0.0.lastSize,volume,unknown,medium,,2026-08-15
chains.callExpDateMap.*.lastTradingDay,chains,callExpDateMap.2028-12-15:955.760.0.0.lastTradingDay,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.low52Week,chains,callExpDateMap.2028-12-15:955.760.0.0.low52Week,key_levels,key_levels,medium,,2026-08-15
chains.callExpDateMap.*.lowPrice,chains,callExpDateMap.2028-12-15:955.760.0.0.lowPrice,bid_ask,unknown,medium,,2026-08-15
chains.callExpDateMap.*.mark,chains,callExpDateMap.2028-12-15:955.760.0.0.mark,bid_ask,unknown,high,,2026-08-15
chains.callExpDateMap.*.markChange,chains,callExpDateMap.2028-12-15:955.760.0.0.markChange,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.markPercentChange,chains,callExpDateMap.2028-12-15:955.760.0.0.markPercentChange,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.mini,chains,callExpDateMap.2028-12-15:955.760.0.0.mini,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.multiplier,chains,callExpDateMap.2028-12-15:955.760.0.0.multiplier,options_chain,unknown,medium,,2026-08-15
chains.callExpDateMap.*.netChange,chains,callExpDateMap.2028-12-15:955.760.0.0.netChange,options_chain,unknown,medium,,2026-08-15
