category,canonical_field,source_endpoints,likely_use,priority
bid_ask,chains.callExpDateMap.*.ask,chains,unknown,medium
bid_ask,chains.callExpDateMap.*.askSize,chains,direct_order_flow,high
bid_ask,chains.callExpDateMap.*.bid,chains,unknown,medium
bid_ask,chains.callExpDateMap.*.bidSize,chains,direct_order_flow,high
bid_ask,chains.callExpDateMap.*.closePrice,chains,unknown,medium
bid_ask,chains.callExpDateMap.*.highPrice,chains,unknown,medium
bid_ask,chains.callExpDateMap.*.lowPrice,chains,unknown,medium
bid_ask,chains.callExpDateMap.*.mark,chains,unknown,high
bid_ask,chains.callExpDateMap.*.openPrice,chains,unknown,medium
bid_ask,chains.putExpDateMap.*.ask,chains,unknown,medium
bid_ask,chains.putExpDateMap.*.askSize,chains,direct_order_flow,high
bid_ask,chains.putExpDateMap.*.bid,chains,unknown,medium
bid_ask,chains.putExpDateMap.*.bidSize,chains,direct_order_flow,high
bid_ask,chains.putExpDateMap.*.closePrice,chains,unknown,medium
bid_ask,chains.putExpDateMap.*.highPrice,chains,unknown,medium
bid_ask,chains.putExpDateMap.*.lowPrice,chains,unknown,medium
bid_ask,chains.putExpDateMap.*.mark,chains,unknown,high
bid_ask,chains.putExpDateMap.*.openPrice,chains,unknown,medium
bid_ask,chains.underlying.ask,chains,unknown,medium
bid_ask,chains.underlying.askSize,chains,direct_order_flow,high
bid_ask,chains.underlying.bid,chains,unknown,medium
bid_ask,chains.underlying.bidSize,chains,direct_order_flow,high
bid_ask,chains.underlying.highPrice,chains,unknown,medium
bid_ask,chains.underlying.lowPrice,chains,unknown,medium
bid_ask,chains.underlying.mark,chains,unknown,high
bid_ask,chains.underlying.openPrice,chains,unknown,medium
bid_ask,movers.screeners.*.lastPrice,movers,unknown,high
bid_ask,quotes.extended.askPrice,quotes,unknown,high
bid_ask,quotes.extended.askSize,quotes,direct_order_flow,high
bid_ask,quotes.extended.bidPrice,quotes,unknown,high
bid_ask,quotes.extended.bidSize,quotes,direct_order_flow,high
bid_ask,quotes.extended.lastPrice,quotes,unknown,high
bid_ask,quotes.extended.mark,quotes,unknown,high
bid_ask,quotes.quote.askPrice,quotes,unknown,high
bid_ask,quotes.quote.askSize,quotes,direct_order_flow,high
bid_ask,quotes.quote.bidPrice,quotes,unknown,high
bid_ask,quotes.quote.bidSize,quotes,direct_order_flow,high
bid_ask,quotes.quote.closePrice,quotes,unknown,medium
bid_ask,quotes.quote.highPrice,quotes,unknown,medium
bid_ask,quotes.quote.lastPrice,quotes,unknown,high
bid_ask,quotes.quote.lowPrice,quotes,unknown,medium
bid_ask,quotes.quote.mark,quotes,unknown,high
bid_ask,quotes.quote.openPrice,quotes,unknown,medium
bid_ask,streaming.content.*.MARK,streaming,unknown,high
chart_bar,pricehistory.candles,pricehistory,unknown,medium
chart_bar,pricehistory.candles.*,pricehistory,unknown,medium
chart_bar,pricehistory.candles.*.high,pricehistory,unknown,high
chart_bar,pricehistory.candles.*.low,pricehistory,unknown,high
greeks,chains.callExpDateMap.*.delta,chains,risk_model,high
greeks,chains.callExpDateMap.*.gamma,chains,risk_model,high
greeks,chains.callExpDateMap.*.rho,chains,risk_model,medium
greeks,chains.callExpDateMap.*.theta,chains,risk_model,high
greeks,chains.callExpDateMap.*.vega,chains,risk_model,high
